Upstream.Regulator	Expr.Log.Ratio	Molecule.Type	Predicted.Activation.State	Activation.z.score	Flags	p.value.of.overlap	Target.Molecules.in.Dataset	Mechanistic.Network	q.overlap
filgrastim	NA	biologic drug	Not significant	-1.673	NA	0.015	ADGRG3,CD44,ETS2,FKBP5,HEY1,ICAM2,LDHA,LEF1,LPAR6,OR51E1,RBP7,TSC22D1	NA	0.0247695390781563
SMAD4	NA	transcription regulator	Not significant	-0.577	bias	0.0151	CSF1,CTSD,ENG,ID1,JAG2,LEF1,TNC,VEGFA	NA	0.0248848
ESRRG	NA	ligand-dependent nuclear receptor	Not significant	-0.278	bias	0.0152	KCNE3,KCNQ1,LDHA,VEGFA	NA	0.0249001988071571
ETS2	1.57	transcription regulator	Not significant	0	NA	0.0152	CD34,FLT1,ITGA2B,TIE1	NA	0.0249001988071571
PTHLH	NA	other	Not significant	0	NA	0.0152	EFNB2,LEF1,TNC,VEGFA	NA	0.0249001988071571
STK11	NA	kinase	Not significant	-0.453	NA	0.0157	ASS1,BCL6B,CTSD,ID1,LDHA,Ppbp,SCG2,SERPINI1,VEGFA	NA	0.0254661417322835
TFEB	NA	transcription regulator	Not significant	0	NA	0.0157	CTSD,SCPEP1,VEGFA	NA	0.0254661417322835
ENG	2.05	transmembrane receptor	Not significant	0	NA	0.0157	ID1,KDR,PECAM1	NA	0.0254661417322835
Cdc42	NA	enzyme	Not significant	0	NA	0.0157	CSF1,CTSD,GATA2	NA	0.0254661417322835
PSEN1	NA	peptidase	Not significant	-1.513	NA	0.0159	ABCG2,C1R,CDK5R1,CTSD,DLL1,FZD4,INSR,PGAM1,PLVAP,SCARB1,SNCA	NA	0.0257398821218075
NSD1	NA	transcription regulator	Not significant	0	NA	0.0163	CTSD,HBB	NA	0.0261307392996109
PLCG1	NA	enzyme	Not significant	0	NA	0.0163	KDR,PECAM1	NA	0.0261307392996109
KIF1B	NA	transporter	Not significant	0	NA	0.0163	EPAS1,SNCA	NA	0.0261307392996109
GNA13	NA	enzyme	Not significant	0	NA	0.0163	TRPC6,VEGFA	NA	0.0261307392996109
AKT1	NA	kinase	Not significant	-1.198	bias	0.0167	ASS1,CD44,FOXO1,KDR,RAMP3,SERPINF1,THBS2,VCAN,VEGFA	NA	0.0266682170542636
TGFB2	NA	growth factor	Not significant	-0.468	bias	0.0172	HEY1,KDR,PECAM1,VCAN,VEGFA	NA	0.0273606177606178
NTRK2	NA	kinase	Not significant	0	NA	0.0174	ABCG2,HEY2,RAB3A,VEGFA	NA	0.0276254335260116
DICER1	NA	enzyme	Not significant	0.492	NA	0.018	CD44,ENG,ITGA2,KDR,RGS5,SERPINA1,SERPINF1,TRPC3,TRPC6	NA	0.0285230769230769
bevacizumab	NA	biologic drug	Not significant	0	NA	0.0185	KDR,VEGFA	NA	0.0286541353383459
BMP10	NA	growth factor	Not significant	0	NA	0.0185	ENG,ID1	NA	0.0286541353383459
NREP	NA	other	Not significant	0	NA	0.0185	ITGA3,VEGFA	NA	0.0286541353383459
FCGR1A	NA	transmembrane receptor	Not significant	0	NA	0.0185	CSF1,LSP1	NA	0.0286541353383459
MAML1	NA	transcription regulator	Not significant	0	NA	0.0185	HEY1,HEY2	NA	0.0286541353383459
GFAP	NA	other	Not significant	0	NA	0.0185	CD44,ITGA2	NA	0.0286541353383459
PKD1	NA	ion channel	Not significant	1.633	NA	0.0186	ABCG2,ATP1B2,ENPP6,FOXO1,LOX,NAPSA,SLC4A1	NA	0.0287549718574109
TCF4	NA	transcription regulator	Not significant	0	NA	0.0188	BNIP3,FOXO1,GIMAP4,GP9,ITGA3,LEF1,PIK3C2B,SERPINF1,SMAGP,VCAN,ZBP1	NA	0.0289555140186916
PLG	NA	peptidase	Not significant	1.067	bias	0.019	CSF1,EDNRB,PECAM1,RAPGEF3	NA	0.0289841620626151
ACVR1	NA	kinase	Not significant	0	NA	0.0191	C1R,ID1,LEF1	NA	0.0289841620626151
HBB	4.06	transporter	Not significant	0	NA	0.0191	CSF1,PECAM1,SCARB1	NA	0.0289841620626151
ANGPT1	NA	growth factor	Not significant	0	NA	0.0203	DLL4,EFNB2,VEGFA	NA	0.0303578947368421
RAC2	NA	enzyme	Not significant	0	NA	0.0203	EFNB2,LDHA,TSC22D1	NA	0.0303578947368421
ILK	NA	kinase	Not significant	0	NA	0.0203	CD44,LEF1,SLC4A1	NA	0.0303578947368421
CBX5	NA	transcription regulator	Inhibited	-2	bias	0.0203	GCHFR,HBB,ICAM2,LEF1,TSPAN13	NA	0.0303578947368421
HNF1B	NA	transcription regulator	Not significant	1	NA	0.0203	CD44,COL5A2,ID1,ITGA3,SERPINA1	NA	0.0303578947368421
PTPN11	NA	phosphatase	Not significant	0	NA	0.0207	CSF1,GAB1,GATA2,KDR	NA	0.0307154121863799
CREB1	NA	transcription regulator	Not significant	0.044	bias	0.0207	ADORA2A,AK4,ARL15,BNIP3,DOK4,FLT1,ID1,NEURL1B,Nrgn,SCG2,SERPINI1,STC1,TRPC6,VEGFA	NA	0.0307154121863799
PPP1R1B	NA	phosphatase	Not significant	0	NA	0.0208	CD44,SNCA	NA	0.0307154121863799
PLCL1	NA	enzyme	Not significant	0	NA	0.0208	FOXO1,ID1	NA	0.0307154121863799
HR	NA	transcription regulator	Not significant	0	NA	0.0215	ANO1,LEF1,NAPSA	NA	0.0315793226381462
IL2	NA	cytokine	Not significant	-0.389	bias	0.022	CARD10,CCR9,CD44,CDK5R1,CSF1,DAPK2,EPAS1,FOXO1,ITGA2,LY6E,Nrgn,PECAM1,PLCB1,SHE,VEGFA	NA	0.0322562277580071
TWIST1	NA	transcription regulator	Not significant	-0.555	bias	0.0226	CD44,EFNB2,FOXO1,THBS2,VCAN,VEGFA	NA	0.0327599393019727
TEAD3	NA	transcription regulator	Not significant	0	NA	0.0228	COL5A2,LIMCH1,POSTN	NA	0.0327599393019727
DLX6	NA	transcription regulator	Not significant	0	NA	0.0231	POU3F3,RGS5	NA	0.0327599393019727
SLC6A3	3.03	transporter	Not significant	0	NA	0.0231	CDK5R1,SLC6A3	NA	0.0327599393019727
GFI1B	NA	transcription regulator	Not significant	0	NA	0.0231	FOXO1,GATA2	NA	0.0327599393019727
EGLN3	NA	enzyme	Not significant	0	NA	0.0231	EPAS1,LDHA	NA	0.0327599393019727
lisinopril	NA	biologic drug	Not significant	0	NA	0.0231	KDR,VEGFA	NA	0.0327599393019727
MBD3	NA	other	Not significant	0	NA	0.0234	CD44,FZD4,TAL1,TIE1	NA	0.0327599393019727
SIM1	NA	transcription regulator	Not significant	1.89	bias	0.0235	ALAS2,DLL1,GATA2,KCNQ1,LDB2,PLCB1,POSTN	NA	0.0327599393019727
OGA	NA	enzyme	Not significant	-0.302	NA	0.0249	ASS1,CD44,CMTM8,EFNB2,GP9,ITGA2,MMRN2,PCDHB5,THSD1,TNC,TSPAN12	NA	0.0327599393019727
ITK	NA	kinase	Not significant	1.951	bias	0.0252	ARAP3,BIK,CD44,LPAR6	NA	0.0327599393019727
C5	NA	cytokine	Not significant	-0.6	bias	0.0253	BCL6B,CSF1,EFNB2,FLT1,VEGFA	NA	0.0327599393019727
TEK	NA	kinase	Not significant	0	NA	0.0256	CLDN5,VEGFA	NA	0.0327599393019727
HDAC1	NA	transcription regulator	Not significant	0	NA	0.0261	BAMBI,CD34,CD44,FLT1,ID1,KDR,TAL1,TBX2	NA	0.0327599393019727
ALKBH5	NA	enzyme	Not significant	0	NA	0.0262	CHN1,CTSD,JAG2,MYO6	NA	0.0327599393019727
SMO	NA	G-protein coupled receptor	Not significant	0	NA	0.0262	HBB,LEF1,SOX18,VCAN	NA	0.0327599393019727
CHCHD10	NA	other	Not significant	0	NA	0.0262	COX4I2	NA	0.0327599393019727
MBNL3	NA	other	Not significant	0	NA	0.0262	CD44	NA	0.0327599393019727
CNMD	NA	other	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
ZFAT	NA	transcription regulator	Not significant	0	NA	0.0262	FOXO1	NA	0.0327599393019727
COLGALT1	NA	enzyme	Not significant	0	NA	0.0262	COLGALT2	NA	0.0327599393019727
TAAR1	NA	G-protein coupled receptor	Not significant	0	NA	0.0262	SLC6A3	NA	0.0327599393019727
LRBA	NA	other	Not significant	0	NA	0.0262	SLC9A3R2	NA	0.0327599393019727
ADGRG1	NA	G-protein coupled receptor	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
SEMA4A	NA	other	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
RTN2	NA	other	Not significant	0	NA	0.0262	SLC1A1	NA	0.0327599393019727
VANGL2	NA	other	Not significant	0	NA	0.0262	PRICKLE2	NA	0.0327599393019727
CTDSPL2	NA	phosphatase	Not significant	0	NA	0.0262	ID1	NA	0.0327599393019727
VAX2	NA	transcription regulator	Not significant	0	NA	0.0262	EFNB2	NA	0.0327599393019727
TBX4	NA	transcription regulator	Not significant	0	NA	0.0262	TBX2	NA	0.0327599393019727
ADAMTS9	NA	peptidase	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
ACER3	NA	enzyme	Not significant	0	NA	0.0262	ACER2	NA	0.0327599393019727
LOXL1	NA	enzyme	Not significant	0	NA	0.0262	SNCA	NA	0.0327599393019727
UCN3	NA	other	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
PTPRG	NA	phosphatase	Not significant	0	NA	0.0262	CD34	NA	0.0327599393019727
HLTF	NA	transcription regulator	Not significant	0	NA	0.0262	HBB	NA	0.0327599393019727
GH2	NA	other	Not significant	0	NA	0.0262	INSR	NA	0.0327599393019727
KLHL40	NA	other	Not significant	0	NA	0.0262	BNIP3	NA	0.0327599393019727
MYOF	NA	other	Not significant	0	NA	0.0262	KDR	NA	0.0327599393019727
PSG1	NA	other	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
SALL1	NA	transcription regulator	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
CDK10	NA	kinase	Not significant	0	NA	0.0262	ETS2	NA	0.0327599393019727
IDE	NA	peptidase	Not significant	0	NA	0.0262	SNCA	NA	0.0327599393019727
SYNJ2BP	NA	other	Not significant	0	NA	0.0262	EFNB2	NA	0.0327599393019727
GP1BB	NA	other	Not significant	0	NA	0.0262	GP9	NA	0.0327599393019727
KCNE2	NA	ion channel	Not significant	0	NA	0.0262	KCNE3	NA	0.0327599393019727
SEMA6A	NA	transmembrane receptor	Not significant	0	NA	0.0262	KDR	NA	0.0327599393019727
HES7	NA	transcription regulator	Not significant	0	NA	0.0262	HEY2	NA	0.0327599393019727
ZFP36L1	NA	transcription regulator	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
RBM3	NA	other	Not significant	0	NA	0.0262	CD44	NA	0.0327599393019727
ATP9A	NA	transporter	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
CUX2	NA	transcription regulator	Not significant	0	NA	0.0262	DLL1	NA	0.0327599393019727
CYP7B1	NA	enzyme	Not significant	0	NA	0.0262	SNCA	NA	0.0327599393019727
ADAMTS5	NA	peptidase	Not significant	0	NA	0.0262	VCAN	NA	0.0327599393019727
CDK11B	NA	kinase	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
H2BC3	NA	other	Not significant	0	NA	0.0262	SOX17	NA	0.0327599393019727
MAP4	NA	other	Not significant	0	NA	0.0262	VEGFA	NA	0.0327599393019727
CYP4A22-AS1	NA	other	Not significant	0	NA	0.0262	TAL1	NA	0.0327599393019727
VEGF-E	NA	other	Not significant	0	NA	0.0262	FLT1	NA	0.0327599393019727
MAPK7	NA	kinase	Not significant	0	NA	0.0269	ID1,SEMA3F,VEGFA	NA	0.0335334341906203
TEAD2	NA	transcription regulator	Not significant	0	NA	0.0269	COL5A2,LIMCH1,POSTN	NA	0.0335334341906203
MYD88	NA	other	Not significant	1.431	bias	0.0271	BAMBI,CD44,DLL4,EDNRB,ETS2,Plpp1,SCARB1,TSC22D1	NA	0.0337317220543807
CEBPB	NA	transcription regulator	Not significant	1.463	bias	0.0272	APLNR,COL5A2,DEGS1,EFNB2,EMCN,HBB,ID1,INSR,SCARB1,SERPINA1,VCAN	NA	0.0337542168674699
SMARCD3	NA	transcription regulator	Not significant	0	NA	0.0282	CD44,ITGA3	NA	0.0344449039881832
GABPB1	NA	transcription regulator	Not significant	0	NA	0.0282	ROBO4,TNC	NA	0.0344449039881832
LY6E	-1.84	other	Not significant	0	NA	0.0282	ABCG2,CD34	NA	0.0344449039881832
WWOX	NA	enzyme	Not significant	0	NA	0.0282	ITGA3,VEGFA	NA	0.0344449039881832
RND3	NA	enzyme	Not significant	0	NA	0.0282	HEY2,VEGFA	NA	0.0344449039881832
Usp17le (includes others)	NA	peptidase	Not significant	0	NA	0.0282	ABCG2,CD44	NA	0.0344449039881832
FEV	NA	transcription regulator	Activated	2	bias	0.0283	GCHFR,SCG2,TACR1,VTN	NA	0.0344449039881832
DNMT3B	NA	enzyme	Inhibited	-2.236	bias	0.0291	BIK,KDR,PECAM1,PIK3C2B,PTN,TRPC3	NA	0.0353663716814159
WNT5A	NA	cytokine	Not significant	-1.172	NA	0.0293	DLL1,FLT1,INHBB,STC1,VEGFA	NA	0.0355047058823529
SBDS	NA	other	Not significant	0	NA	0.0293	ID1,PCDHB5,RBP7,TNC	NA	0.0355047058823529
BRD2	NA	kinase	Not significant	0	NA	0.0298	ALAS2,NFIB,SLC4A1	NA	0.0360575624082232
FGFR4	NA	kinase	Not significant	0	NA	0.031	CD44,KDR	NA	0.0369667149059334
SPZ1	NA	transcription regulator	Not significant	0	NA	0.031	CD44,VEGFA	NA	0.0369667149059334
HDAC7	NA	transcription regulator	Not significant	0	NA	0.031	CD44,DLL4	NA	0.0369667149059334
GNAI3	NA	enzyme	Not significant	0	NA	0.031	CSF1,VEGFA	NA	0.0369667149059334
MAFK	NA	transcription regulator	Not significant	0	NA	0.031	HBB,ITGA2B	NA	0.0369667149059334
LIPG	NA	enzyme	Not significant	0	NA	0.031	CSF1,VEGFA	NA	0.0369667149059334
ADORA3	NA	G-protein coupled receptor	Not significant	0	NA	0.031	CSF1,VEGFA	NA	0.0369667149059334
OSM	NA	cytokine	Not significant	0.901	bias	0.0326	BAMBI,C1R,DEGS1,ETS2,FAM171A1,GAB1,GLE1,ID1,MPP2,SERPINA1,TAL1,TNC,VEGFA	NA	0.0386509352517986
VHL	NA	transcription regulator	Not significant	1.053	bias	0.0328	BNIP3,EPAS1,LOX,LOXL2,VEGFA	NA	0.038832183908046
MSTN	NA	growth factor	Not significant	0	NA	0.0329	INHBB,TNC,VEGFA	NA	0.0388946915351506
HOXA10	NA	transcription regulator	Not significant	-1.633	bias	0.0335	ALAS2,CLDN5,FLT1,ID1,MAPK12,MFNG	NA	0.0394907010014306
S100A8	NA	other	Not significant	-0.447	NA	0.0335	EFNA1,HEY2,MCF2L,MYCT1,POSTN,VCAN	NA	0.0394907010014306
KLF3	NA	transcription regulator	Inhibited	-2.121	bias	0.0336	DEGS1,EMID1,GIMAP1-GIMAP5,GIMAP8,HBB,KLHL6,MAPK12,PECAM1,SNRK	NA	0.039495577746077
CXCR3	NA	G-protein coupled receptor	Not significant	0	NA	0.0338	ATP1B2,TNC	NA	0.0395613636363636
GRN	NA	growth factor	Not significant	0	NA	0.0338	CTSD,VEGFA	NA	0.0395613636363636
IL18	NA	cytokine	Not significant	0.737	bias	0.0342	CD44,CSF1,GIMAP4,HLX,TACR1,VEGFA	NA	0.0399727659574468
LPL	NA	enzyme	Not significant	0	NA	0.0345	CSF1,SCARB1,VEGFA	NA	0.0402662889518414
ADORA2A	1.59	G-protein coupled receptor	Not significant	0.152	NA	0.0346	CLDN5,PGAM1,RAB3A,SLC6A3,VEGFA	NA	0.0403258840169731
E2F1	NA	transcription regulator	Activated	2.363	bias	0.0347	ABCG2,BNIP3,CD44,FLT1,FOXO1,GRAP,JAG2,KDR,OAZ2,PHF21B,PPP1R13B,VEGFA	NA	0.0403853107344633
NKX2-1	NA	transcription regulator	Not significant	0	NA	0.035	ESAM,LEF1,LSP1,NAPSA,SOX17,VEGFA	NA	0.0406197183098592
EZH2	NA	transcription regulator	Not significant	0	NA	0.0353	EFNA1,EPAS1,FKBP5,FLT1,NLK,PCDHB5,PTN,SERPINA1,SOX17,VEGFA	NA	0.0409102672292546
CASR	NA	G-protein coupled receptor	Not significant	1.342	bias	0.0356	CD44,CSF1,ID1,SERPINA1,VEGFA	NA	0.0412
EHF	NA	transcription regulator	Not significant	-1	bias	0.0361	GATA2,KDR,TNC,VEGFA	NA	0.0413586649550706
PIM1	NA	kinase	Not significant	0	NA	0.0362	ABCG2,EPHA2,INSR	NA	0.0413586649550706
PLAG1	NA	transcription regulator	Not significant	0	NA	0.0362	LSP1,MAPK11,VEGFA	NA	0.0413586649550706
CLEC11A	NA	growth factor	Not significant	0	NA	0.0362	LDHA,TACR1,TSC22D1	NA	0.0413586649550706
Ccl2	NA	cytokine	Not significant	0	NA	0.0362	CSF1,KDR,TIE1	NA	0.0413586649550706
NFE2	NA	transcription regulator	Not significant	0	NA	0.0367	HBB,ITGA2B	NA	0.0413586649550706
TGFB1I1	NA	transcription regulator	Not significant	0	NA	0.0367	ID1,SLC6A3	NA	0.0413586649550706
WT1	NA	transcription regulator	Not significant	-0.159	NA	0.0371	CSF1,EFNA1,INSR,PECAM1,Podxl,TSC22D1,VEGFA	NA	0.0413586649550706
PPIF	NA	enzyme	Not significant	1	NA	0.0373	HEY1,INHBB,Ppbp,PTN	NA	0.0413586649550706
cyclosporin A	NA	biologic drug	Not significant	-1.198	bias	0.0377	ADORA2A,CCR9,CD44,EDNRB,FKBP5,FLT1,FOXO1,KDR,POSTN,RPS6KA2,VEGFA	NA	0.0413586649550706
ADCYAP1	NA	other	Not significant	0.378	NA	0.0378	COL5A2,EPHA2,POSTN,SCARB1,SCG2,SERPINF1,TSC22D1	NA	0.0413586649550706
MAGEA11	NA	other	Not significant	0	NA	0.0391	FKBP5	NA	0.0413586649550706
CADPS	NA	other	Not significant	0	NA	0.0391	SCG2	NA	0.0413586649550706
PDCD10	NA	other	Not significant	0	NA	0.0391	VEGFA	NA	0.0413586649550706
AGPAT1	NA	enzyme	Not significant	0	NA	0.0391	FOXO1	NA	0.0413586649550706
NDUFAF3	NA	other	Not significant	0	NA	0.0391	CTSD	NA	0.0413586649550706
SENP8	NA	peptidase	Not significant	0	NA	0.0391	SNCA	NA	0.0413586649550706
ITGBL1	NA	other	Not significant	0	NA	0.0391	CD44	NA	0.0413586649550706
UBA6	NA	enzyme	Not significant	0	NA	0.0391	SHANK3	NA	0.0413586649550706
FERMT3	NA	enzyme	Not significant	0	NA	0.0391	VEGFA	NA	0.0413586649550706
CNDP2	NA	peptidase	Not significant	0	NA	0.0391	CD44	NA	0.0413586649550706
ADI PEG20	NA	biologic drug	Not significant	0	NA	0.0391	ASS1	NA	0.0413586649550706
TBX6	NA	transcription regulator	Not significant	0	NA	0.0391	DLL1	NA	0.0413586649550706
FCGRT	NA	transmembrane receptor	Not significant	0	NA	0.0391	SNCA	NA	0.0413586649550706
DHPS	NA	enzyme	Not significant	0	NA	0.0391	CDK5R1	NA	0.0413586649550706
DMBT1	NA	transmembrane receptor	Not significant	0	NA	0.0391	EFNB2	NA	0.0413586649550706
GBP1	NA	enzyme	Not significant	0	NA	0.0391	KDR	NA	0.0413586649550706
CCL20	NA	cytokine	Not significant	0	NA	0.0391	POSTN	NA	0.0413586649550706
RAB11A	NA	enzyme	Not significant	0	NA	0.0391	SCARB1	NA	0.0413586649550706
STK16	NA	kinase	Not significant	0	NA	0.0391	VEGFA	NA	0.0413586649550706
GRM2	NA	G-protein coupled receptor	Not significant	0	NA	0.0391	SLC1A1	NA	0.0413586649550706
LYPD6	NA	other	Not significant	0	NA	0.0391	FZD4	NA	0.0413586649550706
S100A2	NA	other	Not significant	0	NA	0.0391	BNIP3	NA	0.0413586649550706
RECQL	NA	enzyme	Not significant	0	NA	0.0391	HBB	NA	0.0413586649550706
CLCA1	NA	ion channel	Not significant	0	NA	0.0391	ANO1	NA	0.0413586649550706
Col17a1	NA	other	Not significant	0	NA	0.0391	SERPINA1	NA	0.0413586649550706
SRSF5	NA	other	Not significant	0	NA	0.0391	VEGFA	NA	0.0413586649550706
EXOC7	NA	transporter	Not significant	0	NA	0.0391	SNCA	NA	0.0413586649550706
RPL10	NA	translation regulator	Not significant	0	NA	0.0391	LEF1	NA	0.0413586649550706
SERPINF1	-1.79	other	Not significant	0	NA	0.0396	CD34,LOXL2,SERPINF1	NA	0.0415673885350318
PAX5	NA	transcription regulator	Not significant	0	NA	0.0396	BIK,INSR,PGAM1	NA	0.0415673885350318
vasoactive intestinal peptide	NA	biologic drug	Not significant	0	NA	0.0396	CSF1,VEGFA	NA	0.0415673885350318
NTRK1	NA	kinase	Not significant	0	NA	0.0396	TACR1,TSC22D1	NA	0.0415673885350318
HEY1	2.68	transcription regulator	Not significant	0	NA	0.0396	KDR,TBX2	NA	0.0415673885350318
CDK19	NA	kinase	Not significant	-1.732	bias	0.0398	CTSD,EPHA2,JAG2,TSC22D1	NA	0.0417241730279898
SIRT6	NA	enzyme	Not significant	0	NA	0.0413	CSF1,PLCB1,Plpp1	NA	0.0431868020304569
PLA2G10	NA	enzyme	Not significant	-0.577	bias	0.0424	CCR9,ETS2,LEF1,VEGFA	NA	0.0442808618504436
NODAL	NA	growth factor	Not significant	0	NA	0.0427	CD34,SOX17	NA	0.0443692307692308
TCF12	NA	transcription regulator	Not significant	0	NA	0.0431	CCR9,FOXO1,TNFAIP1	NA	0.0446160804020101
CNR1	NA	G-protein coupled receptor	Not significant	-0.277	bias	0.0447	DLL1,HEY2,PECAM1,SCARB1,TACR1	NA	0.0460986232790989
FMR1	NA	translation regulator	Not significant	-1.718	bias	0.0458	CELF4,COL5A2,GRIK3,RAB3A,RTN4RL1	NA	0.0468669144981413
CHI3L1	NA	enzyme	Not significant	0	NA	0.0459	TNC,VEGFA	NA	0.0468669144981413
DLX5	NA	transcription regulator	Not significant	0	NA	0.0459	POU3F3,RGS5	NA	0.0468669144981413
FGF9	NA	growth factor	Not significant	0	NA	0.0459	PECAM1,VEGFA	NA	0.0468669144981413
HMGA1	NA	transcription regulator	Not significant	-0.26	bias	0.0481	CD44,INSR,LY6E,SOX17,ZFP57	NA	0.0488710234278668
MAP2K2	NA	kinase	Not significant	0	NA	0.0491	ITGA2B,VEGFA	NA	0.0494601466992665
CTSB	NA	peptidase	Not significant	0	NA	0.0491	KDR,VEGFA	NA	0.0494601466992665
BMPR1B	NA	kinase	Not significant	0	NA	0.0491	ID1,POSTN	NA	0.0494601466992665
ATOH1	NA	transcription regulator	Not significant	0	NA	0.0491	DLL1,NOTCH4	NA	0.0494601466992665
CGA	NA	other	Not significant	0	NA	0.0492	CLDN5,FOXO1,GATA2,ID1	NA	0.0495003663003663
LMNA	NA	other	Not significant	0	NA	0.0498	BAMBI,FLT1,GRAP,KANK3,SEMA3G,SNRK,SOX13	NA	0.0500429268292683
NR1H4	NA	ligand-dependent nuclear receptor	Not significant	1.929	NA	0.074	INSR,LDHA,PGAM1,SCARB1,Sult1a1	NA	0.0741800486618005
